Model,CV_RMSE,Test_RMSE,MAE,R2,MAPE,SMAPE,Waste_Reduction_%
Ridge Regression,6.696882089761215,6.925117777624916,5.130087965436948,-0.18527202654816555,0.7848446984577858,0.5540011874523355,53.026695118803104
CatBoost,6.850107670336757,6.9496309164246055,5.219093475798223,-0.19367799502188854,0.8055061157114358,0.5674148414768058,49.961264082537014
XGBoost,7.0998041705022885,7.081566732496403,5.423480660615567,-0.23943116158443267,0.8324877694754443,0.5950748043852352,46.80433045844393
Random Forest,6.8922338520401905,7.131590410595882,5.334540827999158,-0.25700351323271553,0.8226839563647658,0.577629585159448,50.92332657091918
LightGBM,7.144716014055513,7.302073182363525,5.477512315381206,-0.31781992369849976,0.8312264095275532,0.5993732410750426,44.808144025996675
Gradient Boosting,7.341318026516381,7.818488625531189,5.8692571899417585,-0.5108081682683312,0.8274721673109445,0.65618027123183,47.672360365112226
